arrest_date,a_age,a_gender,a_race,v_age,v_gender,v_race,crime,weapon
3/10/2008 0:00,15,M,White,39,F,White,Murder and Nonnegligent Manslaughter,Handgun
3/11/2008 0:00,23,M,Black or African American,18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/14/2008 0:00,39,M,White,42,M,White,Murder and Nonnegligent Manslaughter,Handgun
3/14/2008 0:00,20,M,Black or African American,21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/16/2008 0:00,16,M,Black or African American,53,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/17/2008 0:00,19,M,Black or African American,7,M,Black or African American,Negligent Manslaughter,Handgun
3/19/2008 0:00,47,M,Black or African American,37,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/19/2008 0:00,24,M,Black or African American,29,F,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
3/19/2008 0:00,24,M,Black or African American,29,F,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
3/19/2008 0:00,24,M,Black or African American,29,F,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
3/19/2008 0:00,24,M,Black or African American,54,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
3/19/2008 0:00,24,M,Black or African American,54,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
3/19/2008 0:00,24,M,Black or African American,54,M,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
3/19/2008 0:00,21,M,White,24,F,White,Murder and Nonnegligent Manslaughter,Other
3/20/2008 0:00,15,M,Black or African American,19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/20/2008 0:00,16,M,Black or African American,19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/20/2008 0:00,28,M,Black or African American,34,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/20/2008 0:00,19,M,Black or African American,19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/20/2008 0:00,19,M,Black or African American,,F,Unknown,Murder and Nonnegligent Manslaughter,Handgun
3/21/2008 0:00,17,M,White,38,M,White,Murder and Nonnegligent Manslaughter,Shotgun
3/26/2008 0:00,19,M,Black or African American,28,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
3/31/2008 0:00,21,M,Black or African American,22,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
4/1/2008 0:00,19,M,Black or African American,17,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
4/1/2008 0:00,19,M,Black or African American,17,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
4/1/2008 0:00,19,M,Black or African American,16,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
4/1/2008 0:00,19,M,Black or African American,16,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
4/1/2008 0:00,17,M,Black or African American,19,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
4/3/2008 0:00,28,M,Black or African American,48,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
4/3/2008 0:00,23,M,Black or African American,47,M,Black or African American,Murder and Nonnegligent Manslaughter,Shotgun
4/4/2008 0:00,42,M,White,46,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
4/4/2008 0:00,42,M,White,37,M,White,Murder and Nonnegligent Manslaughter,Handgun
4/10/2008 0:00,32,M,Black or African American,44,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
4/13/2008 0:00,20,M,White,10,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,10,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,20,M,White,22,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,22,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,20,M,White,18,F,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,18,F,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,20,M,White,23,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,23,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,20,M,White,24,F,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,24,F,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,20,M,White,16,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,16,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,20,M,White,14,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,14,M,White,Murder and Nonnegligent Manslaughter,Rifle
